AFA,AFA,2001-07-28 08:43:00,602286
ALL,ALL,2011-11-01 05:20:00,test
DZD,DZD,2008-07-07 08:32:00,225816
USD,USD,2004-12-04 02:20:00,629046
ESP,ESP,2002-11-21 05:38:00,171029
AOA,AOA,2005-06-06 19:51:00,843141
XCD,XCD,2010-05-11 22:00:00,660271
XCD,XCD,2010-02-02 05:58:00,442463
ARS,ARS,2019-01-08 23:14:00,92549
AMD,AMD,2003-04-27 08:58:00,744399
AWG,AWG,2019-08-16 21:26:00,972488
AUD,AUD,2008-05-08 08:56:00,567021
ATS,ATS,2014-09-19 15:49:00,859631
AZM,AZM,2017-03-03 14:14:00,486885
BSD,BSD,2004-12-04 05:14:00,256925
BHD,BHD,2012-07-19 04:22:00,766266
BDT,BDT,2005-03-18 00:53:00,574055
BBD,BBD,2010-02-15 16:33:00,321649
BYB,BYB,2018-02-07 07:10:00,749491
BEF,BEF,2001-08-12 00:25:00,49787
BZD,BZD,2002-02-08 22:23:00,346902
XOF,XOF,2000-08-30 11:53:00,978287
BMD,BMD,2017-07-28 11:58:00,535201
INR,INR,2016-01-29 12:26:00,838897
BOB,BOB,2015-11-07 08:15:00,878351
BAM,BAM,2006-07-12 05:25:00,214103
BWP,BWP,2014-01-20 14:33:00,837585
NOK,NOK,2011-11-19 18:29:00,311659
BRL,BRL,2000-12-02 12:32:00,721533
USD,USD,2011-12-05 05:28:00,658314
BND,BND,2011-10-24 07:53:00,252726
BGL,BGL,2017-10-10 14:42:00,12128
XOF,XOF,2004-09-01 14:00:00,64024
BIF,BIF,2012-08-04 02:20:00,13332
KHR,KHR,2002-12-25 13:23:00,972957
XAF,XAF,2017-01-07 17:18:00,545749
CAD,CAD,2003-11-20 07:11:00,344492
CVE,CVE,2010-12-12 22:58:00,559926
KYD,KYD,2009-12-15 19:20:00,781074
XAF,XAF,2001-01-20 04:35:00,938630
XAF,XAF,2000-10-06 03:18:00,372905
CLP,CLP,2016-09-18 04:25:00,857166
CNY,CNY,2013-07-03 23:32:00,157560
HKD,HKD,2017-12-14 03:15:00,141739
MOP,MOP,2000-12-15 20:40:00,172173
AUD,AUD,2000-03-06 09:20:00,442273
AUD,AUD,2017-02-23 02:48:00,709433
COP,COP,2008-05-04 21:27:00,709956
KMF,KMF,2019-08-18 22:49:00,385345
XAF,XAF,2006-09-12 22:24:00,607877
CDF,CDF,2008-07-17 00:18:00,355977
NZD,NZD,2009-09-02 18:28:00,331519
CRC,CRC,2013-06-06 13:46:00,741809
XOF,XOF,2018-01-06 06:34:00,121830
HRK,HRK,2002-07-11 01:03:00,289920
CUP,CUP,2013-03-12 07:56:00,187106
CYP,CYP,2016-06-30 04:39:00,227578
CZK,CZK,2003-05-08 22:58:00,213561
DKK,DKK,2003-09-04 08:31:00,42193
DJF,DJF,2007-11-20 08:05:00,450676
XCD,XCD,2013-07-14 13:12:00,209543
DOP,DOP,2003-10-05 14:54:00,689649
TPE,TPE,2016-06-25 19:56:00,194365
ECS,ECS,2007-07-24 00:04:00,529625
EGP,EGP,2012-09-07 21:59:00,34031
SVC,SVC,2019-08-09 01:08:00,385520
XAF,XAF,2001-08-29 18:47:00,434527
ERN,ERN,2017-12-21 20:53:00,470673
EEK,EEK,2011-10-27 10:10:00,114650
ETB,ETB,2015-05-21 07:31:00,310703
DKK,DKK,2016-07-05 06:14:00,506517
XEU,XEU,2009-06-01 22:54:00,879682
EUR,EUR,2010-05-31 14:14:00,522530
FKP,FKP,2016-02-17 16:57:00,756214
FJD,FJD,2018-12-01 08:58:00,990226
FIM,FIM,2003-12-19 10:34:00,857881
FRF,FRF,2008-12-15 11:46:00,577528
FRF,FRF,2002-05-25 19:33:00,338428
XPF,XPF,2012-12-29 14:17:00,984955
XPF,XPF,2013-09-11 04:30:00,734526
XAF,XAF,2013-08-06 10:29:00,458166
GMD,GMD,2010-06-18 12:10:00,494465
GEL,GEL,2004-01-27 21:54:00,971856
DEM,DEM,2005-11-26 00:25:00,139115
GHC,GHC,2013-01-20 15:13:00,997845
GIP,GIP,2004-03-08 22:01:00,364500
GRD,GRD,2019-04-26 01:46:00,518178
